num_consumers;num_shops;avg_fun;avg_shop_balance;avg_consumer_balance
342;20;25.89;100.45;18.47
344;20;24.72;97.80;18.74
346;20;26.19;103.75;18.62
348;20;17.55;72.40;20.22
350;20;24.20;94.25;18.98
352;20;24.43;96.70;18.79
354;20;29.38;117.45;17.94
356;20;27.55;112.50;17.99
358;20;21.26;88.35;19.71
360;20;26.49;104.20;18.66
362;20;22.56;94.90;19.46
364;20;22.26;92.50;19.52
366;20;23.73;95.40;19.05
368;20;27.36;113.25;18.15
370;20;23.38;105.90;18.98
372;20;19.25;82.50;20.01
374;20;26.16;110.20;18.73
376;20;25.57;109.70;18.90
378;20;23.75;103.45;19.34
380;20;24.09;108.40;18.72
382;20;22.71;102.60;18.90
384;20;23.32;103.40;19.29
386;20;22.15;99.50;19.46
388;20;24.64;112.75;18.86
390;20;18.84;82.00;20.29
392;20;18.70;86.20;20.13
394;20;23.30;103.75;19.17
396;20;25.31;113.80;18.88
398;20;19.47;91.90;19.92
400;20;19.30;91.05;19.91
402;20;21.60;95.75;19.44
404;20;22.55;108.10;19.03
406;20;22.21;107.35;19.23
408;20;17.00;78.35;20.72
410;20;18.18;89.80;20.19
412;20;23.03;110.95;19.24
414;20;22.36;103.20;19.53
416;20;17.86;88.65;20.23
418;20;20.61;101.10;19.59
420;20;24.71;117.70;19.09
422;20;18.35;89.15;20.30
424;20;21.10;108.45;19.46
426;20;16.89;84.00;20.23
428;20;21.31;103.05;19.57
430;20;21.53;102.00;19.57
432;20;25.50;127.60;18.82
434;20;18.26;96.30;20.09
436;20;20.19;102.90;19.87
438;20;21.26;109.10;19.64
440;20;21.65;108.40;19.79
442;20;21.79;108.25;19.49
444;20;19.20;104.00;19.79
446;20;21.16;110.75;19.67
448;20;19.79;103.40;19.75
450;20;16.94;89.30;20.36
452;20;21.56;108.05;19.61
454;20;21.05;113.00;19.44
456;20;20.43;106.25;19.64
458;20;19.22;100.85;20.02
460;20;20.99;114.35;19.34
462;20;21.63;113.45;19.63
464;20;20.65;107.15;19.70
466;20;21.10;112.25;19.58
468;20;15.82;87.45;20.82
470;20;16.51;90.90;20.55
472;20;21.12;115.80;19.73
474;20;19.69;110.70;19.85
476;20;20.64;108.60;20.19
478;20;17.70;90.90;20.68
480;20;18.65;103.55;20.17
482;20;18.69;102.20;20.29
484;20;18.87;103.75;20.08
486;20;21.46;117.05;19.47
488;20;19.81;115.25;19.85
490;20;18.30;104.30;20.03
492;20;20.58;111.50;19.97
494;20;20.49;116.20;19.79
496;20;18.08;104.40;20.45
498;20;19.99;114.55;19.86
500;20;22.01;127.20;19.38
502;20;20.86;123.00;19.59
504;20;17.16;99.25;20.61
506;20;18.77;109.10;19.89
508;20;18.23;108.10;20.20
510;20;16.74;102.95;20.52
512;20;18.18;102.45;20.71
514;20;16.73;99.45;20.60
516;20;16.83;102.60;20.62
518;20;19.75;117.30;19.97
520;20;16.91;100.40;20.73
522;20;18.39;108.60;20.46
524;20;18.50;114.80;20.17
526;20;18.72;110.25;20.56
528;20;17.50;108.80;20.34
530;20;19.28;118.90;20.02
532;20;15.21;93.40;21.02
534;20;18.42;115.15;20.41
536;20;16.90;105.85;20.55
538;20;20.30;119.30;20.19
540;20;15.37;98.95;20.99
542;20;19.26;117.10;20.23
544;20;16.98;106.85;20.65
546;20;17.63;108.40;20.64
548;20;17.68;113.25;20.55
550;20;18.22;116.55;20.23
552;20;16.95;106.50;20.53
554;20;17.07;109.55;20.46
556;20;20.75;136.00;19.62
558;20;15.57;99.40;21.06
560;20;18.95;126.90;19.89
562;20;15.34;98.90;20.78
564;20;17.30;112.15;20.27
566;20;13.22;82.90;21.61
568;20;12.88;85.30;21.55
570;20;16.61;111.20;20.54
572;20;16.89;113.20;20.37
574;20;16.68;112.25;20.57
576;20;17.03;113.30;20.53
578;20;18.29;117.70;20.39
580;20;17.62;121.15;20.43
582;20;14.66;102.30;21.17
584;20;13.72;93.85;21.38
586;20;12.73;86.85;21.45
588;20;15.70;107.90;20.68
590;20;14.52;97.45;21.22
592;20;17.84;120.05;20.34
594;20;16.55;111.55;20.76
596;20;15.63;112.20;20.80
598;20;15.83;106.45;20.89
600;20;16.76;122.15;20.45
602;20;16.84;118.95;20.67
604;20;18.23;129.20;20.09
606;20;14.93;107.60;20.96
608;20;15.50;108.90;21.06
610;20;15.43;114.00;20.68
612;20;14.41;103.50;20.99
614;20;12.53;91.95;21.37
616;20;16.43;116.10;20.67
618;20;8.54;60.20;22.51
620;20;14.57;109.00;20.89
622;20;16.58;123.00;20.41
624;20;15.21;110.75;20.80
626;20;17.01;123.40;20.52
628;20;16.88;120.65;20.50
630;20;15.82;118.30;20.68
632;20;12.01;86.80;21.71
634;20;14.02;97.90;21.34
636;20;16.97;123.15;20.53
638;20;15.45;112.45;20.80
640;20;13.90;103.65;21.15
642;20;12.73;96.60;21.49
644;20;14.62;115.80;21.04
646;20;13.61;101.75;21.27
648;20;13.81;105.45;21.14
650;20;16.30;123.35;20.67
652;20;15.77;120.05;20.83
654;20;11.91;94.50;21.37
656;20;15.04;115.35;20.96
658;20;16.17;125.20;20.63
660;20;12.75;101.90;21.37
662;20;15.06;118.95;20.93
664;20;10.01;77.75;22.42
666;20;15.52;122.00;20.80
668;20;15.45;124.05;20.85
670;20;15.23;117.25;20.84
672;20;16.12;125.30;20.63
674;20;11.97;94.45;21.55
676;20;13.16;108.40;21.42
678;20;15.38;125.30;20.74
680;20;13.10;105.40;21.38
682;20;11.13;85.30;21.95
684;20;14.15;114.50;21.26
686;20;13.19;107.15;21.16
688;20;12.45;98.05;21.61
690;20;15.39;125.45;21.10
692;20;11.82;90.80;21.86
694;20;13.12;106.55;21.27
696;20;15.56;125.25;20.80
698;20;14.92;125.45;20.77
700;20;13.96;119.00;21.06
702;20;13.62;109.10;21.53
704;20;14.96;121.05;21.11
706;20;13.93;111.90;21.42
708;20;11.16;92.90;21.87
710;20;16.38;128.90;20.90
712;20;12.24;99.35;21.60
714;20;13.47;111.75;21.35
716;20;13.11;110.10;21.63
718;20;13.81;120.35;21.44
720;20;12.46;103.85;21.69
722;20;13.71;113.30;21.28
724;20;12.79;111.25;21.45
726;20;15.00;127.00;21.04
728;20;12.57;106.35;21.56
730;20;12.85;108.90;21.58
732;20;10.68;91.30;22.18
734;20;14.84;119.05;21.15
736;20;13.42;121.15;21.23
738;20;13.47;118.15;21.39
740;20;13.65;115.10;21.37
742;20;12.88;112.75;21.43
744;20;12.30;110.35;21.37
746;20;12.20;104.60;21.66
748;20;12.75;112.25;21.68
750;20;12.08;109.55;21.48
752;20;12.67;116.75;21.46
